file_path,start_line,start_column,end_line,end_column,type,stage,vulnerable_function,path_norm
/processed/command-injection/clamscan_1.2.0/after/index.js,724,90,724,91,command-injection,after,,/processed/command-injection/clamscan_1.2.0/STAGE/index.js
/processed/command-injection/dns-sync_0.1.0/after/lib/dns-sync.js,7,39,7,93,command-injection,after,isValidHostName,/processed/command-injection/dns-sync_0.1.0/STAGE/lib/dns-sync.js
/processed/command-injection/dns-sync_0.1.0/after/lib/dns-sync.js,7,64,7,77,command-injection,after,isValidHostName,/processed/command-injection/dns-sync_0.1.0/STAGE/lib/dns-sync.js
/processed/command-injection/clamscan_1.2.0/after/index.js,447,40,447,43,command-injection,after,,/processed/command-injection/clamscan_1.2.0/STAGE/index.js
/processed/command-injection/codecov_3.6.4/after/lib/services/codebuild.js,38,12,38,26,command-injection,after,detectRepoSlug,/processed/command-injection/codecov_3.6.4/STAGE/lib/services/codebuild.js
/processed/command-injection/total.js_3.4.6/after/utils.js,38,34,38,36,command-injection,after,,/processed/command-injection/total.js_3.4.6/STAGE/utils.js
/processed/command-injection/dns-sync_0.1.0/after/lib/dns-sync.js,7,90,7,91,command-injection,after,isValidHostName,/processed/command-injection/dns-sync_0.1.0/STAGE/lib/dns-sync.js
/processed/command-injection/dns-sync_0.1.0/after/lib/dns-sync.js,7,74,7,75,command-injection,after,isValidHostName,/processed/command-injection/dns-sync_0.1.0/STAGE/lib/dns-sync.js
/processed/command-injection/dns-sync_0.1.0/after/lib/dns-sync.js,7,128,7,129,command-injection,after,isValidHostName,/processed/command-injection/dns-sync_0.1.0/STAGE/lib/dns-sync.js
/processed/command-injection/dns-sync_0.1.0/after/lib/dns-sync.js,22,31,22,33,command-injection,after,resolve,/processed/command-injection/dns-sync_0.1.0/STAGE/lib/dns-sync.js
/processed/command-injection/macaddress_0.2.8/after/lib/linux.js,3,5,3,83,command-injection,after,,/processed/command-injection/macaddress_0.2.8/STAGE/lib/linux.js
/processed/command-injection/total.js_3.4.6/after/index.js,14380,90,14380,105,command-injection,after,parseComponent,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/index.js,14403,80,14403,95,command-injection,after,parseComponent,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/index.js,14380,56,14380,112,command-injection,after,parseComponent,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/index.js,14390,48,14390,103,command-injection,after,parseComponent,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/index.js,14403,46,14403,102,command-injection,after,parseComponent,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/clamscan_1.2.0/after/index.js,713,49,713,60,command-injection,after,,/processed/command-injection/clamscan_1.2.0/STAGE/index.js
/processed/command-injection/clamscan_1.2.0/after/index.js,929,75,929,86,command-injection,after,,/processed/command-injection/clamscan_1.2.0/STAGE/index.js
/processed/command-injection/clamscan_1.2.0/after/index.js,987,70,987,81,command-injection,after,,/processed/command-injection/clamscan_1.2.0/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/bundles.js,176,58,176,69,command-injection,after,makeignore,/processed/command-injection/total.js_3.4.6/STAGE/bundles.js
/processed/command-injection/total.js_3.4.6/after/index.js,1784,9,1784,19,command-injection,after,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/index.js,1971,9,1971,19,command-injection,after,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/index.js,2745,9,2745,19,command-injection,after,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/index.js,3076,10,3076,40,command-injection,after,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/index.js,4330,75,4330,83,command-injection,after,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/internal.js,364,32,364,45,command-injection,after,,/processed/command-injection/total.js_3.4.6/STAGE/internal.js
/processed/command-injection/total.js_3.4.6/after/internal.js,1411,35,1411,56,command-injection,after,view_parse,/processed/command-injection/total.js_3.4.6/STAGE/internal.js
/processed/command-injection/total.js_3.4.6/after/index.js,8008,2,8008,41,command-injection,after,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/after/utils.js,1566,2,1566,6,command-injection,after,,/processed/command-injection/total.js_3.4.6/STAGE/utils.js
