file_path,start_line,start_column,end_line,end_column,type,stage,vulnerable_function,path_norm
/processed/command-injection/clamscan_1.2.0/before/index.js,723,90,723,91,command-injection,before,,/processed/command-injection/clamscan_1.2.0/STAGE/index.js
/processed/command-injection/clamscan_1.2.0/before/index.js,446,40,446,43,command-injection,before,,/processed/command-injection/clamscan_1.2.0/STAGE/index.js
/processed/command-injection/codecov_3.6.4/before/lib/services/codebuild.js,38,12,38,26,command-injection,before,detectRepoSlug,/processed/command-injection/codecov_3.6.4/STAGE/lib/services/codebuild.js
/processed/command-injection/total.js_3.4.6/before/utils.js,38,34,38,36,command-injection,before,,/processed/command-injection/total.js_3.4.6/STAGE/utils.js
/processed/command-injection/codecov_3.6.4/before/lib/codecov.js,384,16,384,19,command-injection,before,,/processed/command-injection/codecov_3.6.4/STAGE/lib/codecov.js
/processed/command-injection/codecov_3.6.4/before/lib/codecov.js,440,25,440,71,command-injection,before,,/processed/command-injection/codecov_3.6.4/STAGE/lib/codecov.js
/processed/command-injection/dns-sync_0.1.0/before/lib/dns-sync.js,14,31,14,33,command-injection,before,resolve,/processed/command-injection/dns-sync_0.1.0/STAGE/lib/dns-sync.js
/processed/command-injection/macaddress_0.2.8/before/lib/linux.js,3,5,3,74,command-injection,before,,/processed/command-injection/macaddress_0.2.8/STAGE/lib/linux.js
/processed/command-injection/total.js_3.4.6/before/index.js,14380,90,14380,105,command-injection,before,parseComponent,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/index.js,14403,80,14403,95,command-injection,before,parseComponent,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/index.js,14380,56,14380,112,command-injection,before,parseComponent,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/index.js,14390,48,14390,103,command-injection,before,parseComponent,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/index.js,14403,46,14403,102,command-injection,before,parseComponent,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/clamscan_1.2.0/before/index.js,712,49,712,60,command-injection,before,,/processed/command-injection/clamscan_1.2.0/STAGE/index.js
/processed/command-injection/clamscan_1.2.0/before/index.js,928,75,928,86,command-injection,before,,/processed/command-injection/clamscan_1.2.0/STAGE/index.js
/processed/command-injection/clamscan_1.2.0/before/index.js,986,70,986,81,command-injection,before,,/processed/command-injection/clamscan_1.2.0/STAGE/index.js
/processed/command-injection/samsung-remote_1.2.5/before/index.js,74,22,74,33,command-injection,before,,/processed/command-injection/samsung-remote_1.2.5/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/bundles.js,176,58,176,69,command-injection,before,makeignore,/processed/command-injection/total.js_3.4.6/STAGE/bundles.js
/processed/command-injection/total.js_3.4.6/before/index.js,1784,9,1784,19,command-injection,before,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/index.js,1971,9,1971,19,command-injection,before,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/index.js,2745,9,2745,19,command-injection,before,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/index.js,3076,10,3076,40,command-injection,before,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/index.js,4330,75,4330,83,command-injection,before,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/internal.js,364,32,364,45,command-injection,before,,/processed/command-injection/total.js_3.4.6/STAGE/internal.js
/processed/command-injection/total.js_3.4.6/before/internal.js,1411,35,1411,56,command-injection,before,view_parse,/processed/command-injection/total.js_3.4.6/STAGE/internal.js
/processed/command-injection/total.js_3.4.6/before/index.js,8008,2,8008,41,command-injection,before,,/processed/command-injection/total.js_3.4.6/STAGE/index.js
/processed/command-injection/total.js_3.4.6/before/utils.js,1566,2,1566,6,command-injection,before,,/processed/command-injection/total.js_3.4.6/STAGE/utils.js
